Years	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming	U.S. Crime Rate
1960	1.22	1.65	3.01	1.03	3.47	2.17	1.16	2.16	2.71	2.7	1.41	2.3	1.77	2.34	1.55	1.12	1.4	1.21	1.5	1.19	1.67	1.22	2.66	1.47	0.7	1.97	2.05	1.22	3.44	0.69	1.49	2.39	N/A	1.18	0.89	1.56	2.02	1.98	1.05	2.07	1.5	1.16	1.24	2.22	2.54	0.83	1.65	2.23	0.72	1.15	1.92	1.89
1961	1.15	1.63	3.13	1.04	3.41	2.4	1.24	2.11	2.83	2.46	1.5	2.52	1.86	2.44	1.63	1.08	1.42	1.2	1.26	1.11	1.79	1.46	2.69	1.45	0.73	2.05	2.02	1.28	3.62	0.81	1.54	2.19	N/A	1.19	0.89	1.58	1.95	2	1.05	1.88	1.59	1.14	1.27	2.13	2.1	0.82	1.77	2.23	0.66	1.19	1.97	1.9
1962	1.22	1.66	3.2	1.09	3.56	2.67	1.34	2.24	2.83	2.54	1.55	2.55	1.93	2.55	1.8	1.14	1.57	1.33	1.33	1.19	1.89	1.63	2.78	1.55	0.75	2.31	1.98	1.29	3.71	1	1.74	2.25	N/A	1.23	0.95	1.57	1.98	2.06	1.13	1.91	1.68	1.1	1.39	2.15	2.33	1.03	1.76	2.33	0.75	1.18	1.61	2.01
1963	1.33	2.06	3.39	1.18	3.79	2.66	1.58	2.38	3.21	2.79	1.69	2.54	1.88	2.59	2.05	1.18	1.64	1.44	1.55	1.17	2.14	1.73	2.98	1.7	0.65	2.57	2.16	1.43	4.59	0.93	1.9	2.42	N/A	1.3	1.04	1.74	1.96	2.21	1.23	2	1.83	1.12	1.47	2.24	2.39	1.11	1.87	2.4	0.77	1.35	1.87	2.18
1964	1.57	2.17	3.65	1.36	4.14	2.73	1.81	2.51	3.75	3.36	1.84	2.79	1.95	2.69	2.18	1.36	1.97	1.58	1.82	1.4	2.39	1.99	3.19	2	0.95	2.9	2.1	1.6	4.26	0.97	2.06	2.67	N/A	1.5	1.09	1.97	2.16	2.54	1.37	2.36	2.05	1.22	1.57	2.51	2.52	0.86	2.19	2.73	0.83	1.59	1.91	2.39
1965	1.59	2.6	3.55	1.27	4.32	2.7	1.83	2.41	4.22	3.32	1.76	3.25	1.98	2.55	2.17	1.4	1.99	1.59	1.77	1.42	2.76	2.12	3.32	2.01	0.98	2.91	2.15	1.83	3.75	1.05	2.05	2.86	3.07	1.57	1.07	1.95	2.02	2.76	1.49	2.25	1.86	1.28	1.51	2.58	2.91	0.98	2.2	2.72	0.82	1.59	1.97	2.44
1966	1.76	2.79	4.14	1.38	4.55	3.01	1.98	2.62	4.94	3.72	1.88	3.5	2.01	2.76	2.34	1.64	2.1	1.74	2.16	1.43	3.16	2.28	3.71	2.23	0.9	2.92	2.36	1.93	3.63	1.14	2.33	3.26	3.34	1.7	1.21	2.1	2.19	2.99	1.49	2.58	1.98	1.51	1.82	2.87	3.33	1.12	2.33	3.1	0.94	1.9	2.22	2.67
1967	1.85	2.88	4.84	1.63	5.06	3.31	2.28	2.89	6.66	4.1	1.95	3.72	1.91	2.91	2.59	1.88	2.47	1.86	2.39	1.62	3.91	2.48	4.06	2.59	0.9	3.12	2.46	2.09	4.3	1.12	2.74	3.27	3.78	1.89	1.4	2.52	2.31	3.47	1.67	3.14	2.09	1.56	2.11	3.13	3.24	1.22	2.62	3.74	1.02	2.23	2.41	2.99
1968	2	3.32	4.87	1.96	5.72	3.86	2.89	3.17	7.87	4.5	2.16	4.44	2.12	3.24	2.92	2.14	2.72	1.99	2.51	1.68	4.58	3.07	4.17	2.96	1.09	3.58	2.54	2.41	4.46	1.3	3.25	3.8	4.58	2.01	1.41	2.78	2.62	3.73	1.94	3.89	2.18	1.75	2.17	3.48	3.58	1.21	2.89	3.96	1.16	2.39	2.55	3.37
1969	2.13	3.88	5.22	2.19	6.1	4.5	3.23	3.5	10.41	4.74	2.4	4.53	2.73	3.47	3.09	2.25	3.14	2.16	2.75	1.94	4.57	3.48	4.8	3.08	1.09	4.18	2.69	2.45	5.15	1.51	3.23	4.51	4.57	2.25	1.49	3.13	2.62	4.21	2.02	4.13	2.55	1.83	2.2	3.97	4.03	1.57	3.01	4.64	1.1	2.49	2.7	3.68
1970	2.48	3.8	5.91	2.42	6.34	5.32	3.49	4.26	10.88	5.32	2.88	5.27	3.15	3.78	3.48	2.51	3.64	2.48	3.32	2.06	4.64	3.75	5.51	3.2	1.3	4.15	2.88	2.55	5.76	1.72	3.58	4.44	4.97	2.64	1.71	3.57	2.98	4.69	2.19	4.27	3.06	2.05	2.4	4.17	4.2	1.9	3.67	4.88	1.38	2.7	2.97	3.98
1971	2.5	4.16	5.94	2.33	6.69	5.52	3.65	5.02	9.52	5.67	3.05	5.46	3.51	3.89	3.52	2.63	3.5	2.48	3.46	2.32	4.8	4.35	5.72	3.54	1.6	4.05	3.18	2.54	5.46	2.07	3.97	5.11	5.08	2.73	2.05	3.67	3.12	4.94	2.57	4.81	3.14	2.06	2.61	4.1	4.49	2.08	3.63	4.89	1.4	3.01	2.82	4.16
1972	2.39	4.48	5.93	2.35	6.41	5.59	3.4	4.52	7.87	5.38	3.05	4.61	3.42	3.79	3.41	2.53	3.4	2.23	3.38	2.59	4.63	4.11	5.36	3.35	1.81	3.93	3.21	2.63	5.85	1.99	3.84	4.95	4.38	2.66	1.99	3.44	3.11	5.05	2.41	4.55	3.26	2.13	2.65	3.91	4.21	2.2	3.39	4.7	1.44	2.95	3.03	3.96
